ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Col,Metadata_FileLocation,Metadata_FileName,Metadata_Frame,Metadata_Plate,Metadata_Row,Metadata_Series,Metadata_Well,Children_Cells_Count,Children_FilteredNuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,nan,019,nan,nan,0,u26a,000,0,A2,0,0,569.5632958801498,39.75955056179775,0,1
1,2,nan,019,nan,nan,0,u26a,000,0,A2,0,0,243.95141700404858,39.987854251012145,0,2
1,3,nan,019,nan,nan,0,u26a,000,0,A2,0,0,771.8593247588425,60.069131832797424,0,3
1,4,nan,019,nan,nan,0,u26a,000,0,A2,0,0,855.9283387622149,79.61889250814332,0,4
1,5,nan,019,nan,nan,0,u26a,000,0,A2,1,1,488.0086887835703,114.76777251184834,0,5
1,6,nan,019,nan,nan,0,u26a,000,0,A2,0,0,927.1180124223603,130.26501035196688,0,6
1,7,nan,019,nan,nan,0,u26a,000,0,A2,1,1,708.0513866231647,131.14763458401305,0,7
1,8,nan,019,nan,nan,0,u26a,000,0,A2,1,1,361.9560155239327,153.73609314359638,0,8
1,9,nan,019,nan,nan,0,u26a,000,0,A2,1,1,458.1507537688442,183.03266331658293,0,9
1,10,nan,019,nan,nan,0,u26a,000,0,A2,1,1,248.6522511848341,200.3074644549763,0,10
1,11,nan,019,nan,nan,0,u26a,000,0,A2,1,1,311.0615384615385,196.49615384615385,0,11
1,12,nan,019,nan,nan,0,u26a,000,0,A2,1,1,196.92592592592592,223.35185185185185,0,12
1,13,nan,019,nan,nan,0,u26a,000,0,A2,1,1,541.0997171145686,253.4108910891089,0,13
1,14,nan,019,nan,nan,0,u26a,000,0,A2,1,1,351.48426150121065,263.03874092009687,0,14
1,15,nan,019,nan,nan,0,u26a,000,0,A2,1,1,925.0544720914593,275.4478816408877,0,15
1,16,nan,019,nan,nan,0,u26a,000,0,A2,1,1,799.4822073233626,321.2042289840124,0,16
1,17,nan,019,nan,nan,0,u26a,000,0,A2,1,1,372.13430127041744,331.85753176043556,0,17
1,18,nan,019,nan,nan,0,u26a,000,0,A2,1,1,215.71188026192704,327.8465855940131,0,18
1,19,nan,019,nan,nan,0,u26a,000,0,A2,1,1,643.5506465517242,340.6115301724138,0,19
1,20,nan,019,nan,nan,0,u26a,000,0,A2,1,1,325.046768707483,358.05102040816325,0,20
1,21,nan,019,nan,nan,0,u26a,000,0,A2,1,1,423.06365614798693,375.87431991294886,0,21
1,22,nan,019,nan,nan,0,u26a,000,0,A2,1,1,770.8926270579814,400.5476020042949,0,22
1,23,nan,019,nan,nan,0,u26a,000,0,A2,1,1,548.359351988218,417.5169366715758,0,23
1,24,nan,019,nan,nan,0,u26a,000,0,A2,0,0,93.3048155737705,433.2361680327869,0,24
1,25,nan,019,nan,nan,0,u26a,000,0,A2,1,1,844.996,502.908,0,25
1,26,nan,019,nan,nan,0,u26a,000,0,A2,1,1,405.5070845856591,545.9128381279519,0,26
1,27,nan,019,nan,nan,0,u26a,000,0,A2,0,0,918.4135759272218,571.9804058782365,0,27
1,28,nan,019,nan,nan,0,u26a,000,0,A2,1,1,785.2703306523682,599.6429848078642,0,28
1,29,nan,019,nan,nan,0,u26a,000,0,A2,0,0,49.97094972067039,723.9424581005586,0,29
1,30,nan,019,nan,nan,0,u26a,000,0,A2,0,0,971.1366153846154,739.512,0,30
1,31,nan,019,nan,nan,0,u26a,000,0,A2,1,1,724.6625273922572,750.5675675675676,0,31
1,32,nan,019,nan,nan,0,u26a,000,0,A2,1,1,263.8846694796062,824.7069854664792,0,32
1,33,nan,019,nan,nan,0,u26a,000,0,A2,1,1,408.672799602188,833.1461959224266,0,33
1,34,nan,019,nan,nan,0,u26a,000,0,A2,1,1,828.3138105567607,867.5415762834418,0,34
1,35,nan,019,nan,nan,0,u26a,000,0,A2,1,1,722.8715203426124,897.1491791577445,0,35
1,36,nan,019,nan,nan,0,u26a,000,0,A2,1,1,825.7369020501139,924.9709567198178,0,36
1,37,nan,019,nan,nan,0,u26a,000,0,A2,0,0,250.7431746031746,938.9050793650794,0,37
2,1,nan,020,nan,nan,0,u26a,000,0,A2,0,0,270.1792024230187,50.303886925795055,0,1
2,2,nan,020,nan,nan,0,u26a,000,0,A2,0,0,414.613251155624,59.0457113507961,0,2
2,3,nan,020,nan,nan,0,u26a,000,0,A2,1,1,834.2902511078287,93.56794682422452,0,3
2,4,nan,020,nan,nan,0,u26a,000,0,A2,1,1,728.6606104651163,123.20276162790698,0,4
2,5,nan,020,nan,nan,0,u26a,000,0,A2,1,1,831.5639097744361,151.00925390399075,0,5
2,6,nan,020,nan,nan,0,u26a,000,0,A2,1,1,257.2650562541363,164.71939113170086,0,6
2,7,nan,020,nan,nan,0,u26a,000,0,A2,1,1,271.1421152030217,270.64069877242684,0,7
2,8,nan,020,nan,nan,0,u26a,000,0,A2,0,0,56.94345718901454,366.4889606892838,0,8
2,9,nan,020,nan,nan,0,u26a,000,0,A2,1,1,481.46272799365585,382.8842188739096,0,9
2,10,nan,020,nan,nan,0,u26a,000,0,A2,0,0,71.33370535714286,460.8549107142857,0,10
2,11,nan,020,nan,nan,0,u26a,000,0,A2,0,0,15.160621761658032,535.1554404145078,0,11
2,12,nan,020,nan,nan,0,u26a,000,0,A2,1,1,154.69333333333333,708.7008333333333,0,12
2,13,nan,020,nan,nan,0,u26a,000,0,A2,1,1,958.2790143084261,725.2782193958665,0,13
2,14,nan,020,nan,nan,0,u26a,000,0,A2,0,0,76.26546681664792,764.5838020247469,0,14
2,15,nan,020,nan,nan,0,u26a,000,0,A2,1,1,862.8031446540881,773.0704402515723,0,15
2,16,nan,020,nan,nan,0,u26a,000,0,A2,1,1,210.57155838255338,818.9018627896411,0,16
2,17,nan,020,nan,nan,0,u26a,000,0,A2,1,1,880.9806722689076,828.018487394958,0,17
2,18,nan,020,nan,nan,0,u26a,000,0,A2,0,0,31.5144,875.0744,0,18
2,19,nan,020,nan,nan,0,u26a,000,0,A2,1,1,711.5309427414691,920.0393290919607,0,19
